res_7,num_shops
871828836ffffff,0
87194a898ffffff,0
87195845cffffff,0
87195d15cffffff,0
87194208effffff,0
87182551cffffff,0
87182e436ffffff,0
87194072effffff,0
87194a494ffffff,0
871958654ffffff,0
871958792ffffff,0
871801819ffffff,0
871941226ffffff,0
87194ecdaffffff,0
8718252d9ffffff,0
87195139dffffff,0
8719424a2ffffff,0
87194235effffff,0
87195b736ffffff,0
871909928ffffff,0
8719588e1ffffff,0
871821cb0ffffff,0
871828073ffffff,0
87182ad0dffffff,0
87182c81effffff,0
871951af4ffffff,0
87195822cffffff,0
87195b086ffffff,0
87195d36bffffff,0
87195d635ffffff,0
87195dab2ffffff,0
87195dad1ffffff,0
871941470ffffff,0
8719580caffffff,0
87195d64cffffff,0
87194104cffffff,0
871954652ffffff,0
871959468ffffff,0
87182e6a0ffffff,0
87182c8d2ffffff,0
871951b61ffffff,0
8718052d4ffffff,0
871825245ffffff,0
87182c290ffffff,0
8719433b4ffffff,0
87194840affffff,0
871953b82ffffff,0
87195a843ffffff,0
871821cc5ffffff,0
8719090eeffffff,0
87195e6c1ffffff,0
871943636ffffff,0
87194ec86ffffff,0
871874749ffffff,0
871943925ffffff,0
871942075ffffff,0
871942419ffffff,0
8719512a6ffffff,0
871952825ffffff,0
871973305ffffff,0
8718218ebffffff,0
871909ad9ffffff,0
87190c9a8ffffff,0
8719404f0ffffff,0
871941054ffffff,0
87194115cffffff,0
8719411b1ffffff,0
871941301ffffff,0
871942003ffffff,0
87194209effffff,0
8719423aaffffff,0
871943499ffffff,0
87194ecc9ffffff,0
871951861ffffff,0
8719524a4ffffff,0
871952520ffffff,0
87195436dffffff,0
871954d31ffffff,0
871955590ffffff,0
87195ac20ffffff,0
87195b714ffffff,0
87195c035ffffff,0
87195d509ffffff,0
87195e02cffffff,0
8719720a8ffffff,0
871801814ffffff,0
87194a955ffffff,0
87195186dffffff,0
8719724c3ffffff,0
8719524ceffffff,0
871823420ffffff,0
87195840affffff,0
87195a28bffffff,0
87195cc73ffffff,0
87182cc33ffffff,0
871943d02ffffff,0
871959a29ffffff,0
871973324ffffff,0
871951103ffffff,0
871956d69ffffff,0
8719735a2ffffff,0
87194201affffff,0
87195ed85ffffff,0
87187490affffff,0
87190166cffffff,0
87190c4c9ffffff,0
87192c603ffffff,0
8719404aaffffff,0
871941b9effffff,0
871942091ffffff,0
87194281dffffff,0
871943071ffffff,0
87194375effffff,0
87194a4b2ffffff,0
87194e09bffffff,0
871951aeeffffff,0
87195a01cffffff,0
87195a22effffff,0
87195a5a6ffffff,0
87195c3a9ffffff,0
87195d356ffffff,0
87195dcc1ffffff,0
87195dcd6ffffff,0
871943d22ffffff,0
87194129bffffff,0
871973c48ffffff,0
871943330ffffff,0
87194e0d2ffffff,0
871958285ffffff,0
87195ab45ffffff,0
87197322bffffff,0
871951158ffffff,0
87194842dffffff,0
8719510e5ffffff,0
871972989ffffff,0
871940736ffffff,0
87195d355ffffff,0
87195c751ffffff,0
87182181affffff,0
8718218abffffff,0
87182572effffff,0
871825756ffffff,0
871825a4bffffff,0
871870d2affffff,0
87190998bffffff,0
87194144affffff,0
871941666ffffff,0
87194201dffffff,0
87194204affffff,0
871942236ffffff,0
871942a35ffffff,0
871942ccbffffff,0
871942cd3ffffff,0
871946410ffffff,0
871948420ffffff,0
87194e55cffffff,0
87194e96bffffff,0
8719566d4ffffff,0
8719586edffffff,0
871958765ffffff,0
871958a8bffffff,0
8719594a8ffffff,0
87195b575ffffff,0
87195c3aeffffff,0
87195c664ffffff,0
87195cb9cffffff,0
87195d022ffffff,0
87195dd56ffffff,0
87195e222ffffff,0
87195ea9bffffff,0
871973253ffffff,0
871973263ffffff,0
8719738c6ffffff,0
87182e2cdffffff,0
871943174ffffff,0
87195d714ffffff,0
871946cdaffffff,0
871951250ffffff,0
